TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,25.64,25.17,-18.0,-9.0,-20.5,-11.5
,25.64,25.86,-18.0,-9.0,-15.5,-11.5
194,24.91,25.66,18.0,-18.0,15.5,-15.5
,24.91,24.98,18.0,-18.0,20.5,-15.5
,24.91,25.30,18.0,-18.0,18.0,-18.0
,24.91,24.97,18.0,-18.0,15.5,-20.5
,24.91,24.35,18.0,-18.0,20.5,-20.5
214,25.17,25.72,9.0,-18.0,6.5,-15.5
,25.17,25.72,9.0,-18.0,11.5,-15.5
,25.17,25.52,9.0,-18.0,9.0,-18.0
,25.17,25.02,9.0,-18.0,6.5,-20.5
,25.17,25.03,9.0,-18.0,11.5,-20.5
80,25.39,25.74,0.0,-18.0,-2.5,-15.5
,25.39,25.74,0.0,-18.0,2.5,-15.5
,25.39,25.54,0.0,-18.0,0.0,-18.0
,25.39,25.04,0.0,-18.0,-2.5,-20.5
,25.39,25.03,0.0,-18.0,2.5,-20.5
163,25.04,25.72,-9.0,-18.0,-11.5,-15.5
,25.04,25.73,-9.0,-18.0,-6.5,-15.5
,25.04,25.52,-9.0,-18.0,-9.0,-18.0
,25.04,25.02,-9.0,-18.0,-11.5,-20.5
,25.04,25.02,-9.0,-18.0,-6.5,-20.5
122,24.90,24.98,-18.0,-18.0,-20.5,-15.5
,24.90,25.65,-18.0,-18.0,-15.5,-15.5
,24.90,25.30,-18.0,-18.0,-18.0,-18.0
,24.90,24.34,-18.0,-18.0,-20.5,-20.5
,24.90,24.96,-18.0,-18.0,-15.5,-20.5
184,48.88,48.39,18.0,18.0,15.5,20.5
,48.88,47.21,18.0,18.0,20.5,20.5
,48.88,49.00,18.0,18.0,18.0,18.0
,48.88,49.53,18.0,18.0,15.5,15.5
,48.88,48.29,18.0,18.0,20.5,15.5
86,49.18,48.44,9.0,18.0,6.5,20.5
,49.18,48.58,9.0,18.0,11.5,20.5
,49.18,49.40,9.0,18.0,9.0,18.0
,49.18,49.60,9.0,18.0,6.5,15.5
,49.18,49.73,9.0,18.0,11.5,15.5
234,47.56,46.75,0.0,18.0,-2.5,20.5
,47.56,48.07,0.0,18.0,2.5,20.5
,47.56,48.60,0.0,18.0,0.0,18.0
,47.56,47.76,0.0,18.0,-2.5,15.5
,47.56,49.20,0.0,18.0,2.5,15.5
56,27.42,26.25,-9.0,18.0,-11.5,20.5
,27.42,33.03,-9.0,18.0,-6.5,20.5
,27.42,27.80,-9.0,18.0,-9.0,18.0
,27.42,26.93,-9.0,18.0,-11.5,15.5
,27.42,33.90,-9.0,18.0,-6.5,15.5
156,25.31,24.48,-18.0,18.0,-20.5,20.5
,25.31,25.31,-18.0,18.0,-15.5,20.5
,25.31,25.50,-18.0,18.0,-18.0,18.0
,25.31,25.05,-18.0,18.0,-20.5,15.5
,25.31,25.93,-18.0,18.0,-15.5,15.5
258,49.27,49.62,18.0,9.0,15.5,11.5
,49.27,48.37,18.0,9.0,20.5,11.5
,49.27,49.32,18.0,9.0,18.0,9.0
,49.27,49.59,18.0,9.0,15.5,6.5
,49.27,48.33,18.0,9.0,20.5,6.5
55,49.21,49.69,9.0,9.0,6.5,11.5
,49.21,49.83,9.0,9.0,11.5,11.5
,49.21,49.76,9.0,9.0,9.0,9.0
,49.21,49.65,9.0,9.0,6.5,6.5
,49.21,49.80,9.0,9.0,11.5,6.5
137,47.33,47.83,0.0,9.0,-2.5,11.5
,47.33,49.28,0.0,9.0,2.5,11.5
,47.33,48.90,0.0,9.0,0.0,9.0
,47.33,47.77,0.0,9.0,-2.5,6.5
,47.33,49.22,0.0,9.0,2.5,6.5
92,27.80,27.00,-9.0,9.0,-11.5,11.5
,27.80,33.99,-9.0,9.0,-6.5,11.5
,27.80,28.08,-9.0,9.0,-9.0,9.0
,27.80,27.01,-9.0,9.0,-11.5,6.5
,27.80,33.97,-9.0,9.0,-6.5,6.5
187,25.60,25.10,-18.0,9.0,-20.5,11.5
,25.60,25.99,-18.0,9.0,-15.5,11.5
,25.60,25.69,-18.0,9.0,-18.0,9.0
,25.60,25.09,-18.0,9.0,-20.5,6.5
,25.60,25.99,-18.0,9.0,-15.5,6.5
188,49.22,49.60,18.0,0.0,15.5,2.5
,49.22,48.34,18.0,0.0,20.5,2.5
,49.22,49.33,18.0,0.0,18.0,0.0
,49.22,49.61,18.0,0.0,15.5,-2.5
,49.22,48.35,18.0,0.0,20.5,-2.5
221,48.96,49.63,9.0,0.0,6.5,2.5
,48.96,49.80,9.0,0.0,11.5,2.5
,48.96,49.73,9.0,0.0,9.0,0.0
,48.96,49.64,9.0,0.0,6.5,-2.5
