TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,4889,4854,18,0,20,3,,,
,4889,4793,18,0,21,3,,,
,4889,4944,18,0,15,2,,,
,4889,4940,18,0,16,2,,,
,4889,4931,18,0,17,2,,,
,4889,4917,18,0,18,2,,,
,4889,4892,18,0,19,2,,,
,4889,4854,18,0,20,2,,,
,4889,4794,18,0,21,2,,,
,4889,4944,18,0,15,1,,,
,4889,4940,18,0,16,1,,,
,4889,4931,18,0,17,1,,,
,4889,4917,18,0,18,1,,,
,4889,4893,18,0,19,1,,,
,4889,4854,18,0,20,1,,,
,4889,4794,18,0,21,1,,,
,4889,4944,18,0,15,0,,,
,4889,4940,18,0,16,0,,,
,4889,4931,18,0,17,0,,,
,4889,4917,18,0,18,0,,,
,4889,4893,18,0,19,0,,,
,4889,4855,18,0,20,0,,,
,4889,4794,18,0,21,0,,,
,4889,4944,18,0,15,-1,,,
,4889,4940,18,0,16,-1,,,
,4889,4932,18,0,17,-1,,,
,4889,4917,18,0,18,-1,,,
,4889,4893,18,0,19,-1,,,
,4889,4855,18,0,20,-1,,,
,4889,4794,18,0,21,-1,,,
,4889,4944,18,0,15,-2,,,
,4889,4940,18,0,16,-2,,,
,4889,4932,18,0,17,-2,,,
,4889,4917,18,0,18,-2,,,
,4889,4893,18,0,19,-2,,,
,4889,4855,18,0,20,-2,,,
,4889,4794,18,0,21,-2,,,
,4889,4944,18,0,15,-3,,,
,4889,4940,18,0,16,-3,,,
,4889,4931,18,0,17,-3,,,
,4889,4917,18,0,18,-3,,,
,4889,4893,18,0,19,-3,,,
,4889,4854,18,0,20,-3,,,
,4889,4794,18,0,21,-3,,,
236,4919,4908,9,0,6,3,,,
,4919,4920,9,0,7,3,,,
,4919,4930,9,0,8,3,,,
,4919,4937,9,0,9,3,,,
,4919,4943,9,0,10,3,,,
,4919,4948,9,0,11,3,,,
,4919,4951,9,0,12,3,,,
,4919,4907,9,0,6,2,,,
,4919,4920,9,0,7,2,,,
,4919,4930,9,0,8,2,,,
,4919,4937,9,0,9,2,,,
,4919,4943,9,0,10,2,,,
,4919,4948,9,0,11,2,,,
,4919,4951,9,0,12,2,,,
,4919,4907,9,0,6,1,,,
,4919,4920,9,0,7,1,,,
,4919,4929,9,0,8,1,,,
,4919,4937,9,0,9,1,,,
,4919,4943,9,0,10,1,,,
,4919,4948,9,0,11,1,,,
,4919,4951,9,0,12,1,,,
,4919,4907,9,0,6,0,,,
,4919,4920,9,0,7,0,,,
,4919,4930,9,0,8,0,,,
,4919,4937,9,0,9,0,,,
,4919,4943,9,0,10,0,,,
,4919,4948,9,0,11,0,,,
,4919,4952,9,0,12,0,,,
,4919,4907,9,0,6,-1,,,
,4919,4920,9,0,7,-1,,,
,4919,4930,9,0,8,-1,,,
,4919,4938,9,0,9,-1,,,
,4919,4944,9,0,10,-1,,,
,4919,4948,9,0,11,-1,,,
,4919,4952,9,0,12,-1,,,
,4919,4908,9,0,6,-2,,,
,4919,4920,9,0,7,-2,,,
,4919,4930,9,0,8,-2,,,
,4919,4938,9,0,9,-2,,,
,4919,4944,9,0,10,-2,,,
,4919,4948,9,0,11,-2,,,
,4919,4952,9,0,12,-2,,,
,4919,4908,9,0,6,-3,,,
,4919,4921,9,0,7,-3,,,
,4919,4930,9,0,8,-3,,,
,4919,4938,9,0,9,-3,,,
,4919,4944,9,0,10,-3,,,
,4919,4948,9,0,11,-3,,,
,4919,4952,9,0,12,-3,,,
257,3947,2802,0,0,-3,3,,,
,3947,2977,0,0,-2,3,,,
,3947,3462,0,0,-1,3,,,
,3947,4042,0,0,0,3,,,
,3947,4338,0,0,1,3,,,
,3947,4462,0,0,2,3,,,
